Test,Animal,Experiment,Stage,Trial,P4_tget_latency_to_first_entry,Distance(m),Path_efficiency,Q1_entries,Q1_time,Q1_distance,Q1_mean_visit,Q2_entries,Q2_time,Q2_distance,Q2_mean_visit,Q3_entries,Q3_time,Q3_distance,Q3_mean_visit,Q4_tget_entries,Q4_tget_time,Q4_tget_distance,Q4_tget_latency_to_first_entry,Q4_tget_mean_visit,P4_tget_entries,P4_tget_mean_distance_from,P4_tget_time_getting_closer_to_zone,Q4_Pecent_time,P4_time_getting_closer,Fake_crossings_P1.P2.P3
97,10,1,1,2,"60,0","31,210","0,004",4,"10,2","2,202","2,6",12,"24,4","11,620","2,0",7,"9,1","5,135","1,3",11,"13,4","10,319","3,5","1,2",0,"0,481","31,8",22,53,1
108,10,1,4,1,"60,0","21,965","0,021",5,"9,3","5,897","1,9",6,"6,4","2,698","1,1",11,"27,6","7,674","2,5",6,"10,0","3,326","2,6","1,7",0,"0,425","26,0",17,43,0
17,5,1,1,1,"60,0","21,601","0,047",7,"26,1","7,405","3,7",8,"14,1","5,779","1,8",7,"9,8","3,755","1,4",5,"6,4","3,528","2,2","1,3",0,"0,446","26,9",11,45,2
182,21,3,4,2,"59,6","20,930","0,021",1,"0,3","0,097","0,3",7,"12,9","5,507","1,8",11,"15,2","6,784","1,4",7,"17,3","4,129","15,4","2,5",1,"0,382","26,8",29,45,2
42,5,1,2,2,"60,0","20,900","0,012",5,"6,6","2,945","1,3",8,"18,4","6,456","2,3",7,"10,7","4,073","1,5",7,"20,6","5,800","0,0","2,9",0,"0,417","32,1",34,54,0
96,10,1,1,1,"60,0","20,442","0,014",7,"12,0","3,818","1,7",4,"13,1","3,008","3,3",8,"11,4","4,968","1,4",8,"19,8","7,144","1,8","2,5",0,"0,407","29,0",33,48,1
5,2,1,1,1,"60,0","19,437","0,056",6,"14,3","4,429","2,4",6,"15,1","4,704","2,5",7,"14,9","4,478","2,1",7,"12,2","4,514","0,0","1,7",0,"0,448","29,0",20,48,0
33,2,1,2,1,"60,0","18,382","0,033",5,"8,4","2,123","1,7",5,"10,9","2,324","2,2",9,"16,3","5,636","1,8",10,"19,4","6,290","3,6","1,9",0,"0,320","26,6",32,44,1
296,23,4,5,1,"39,1","18,113","0,042",10,"14,4","4,209","1,4",5,"4,9","1,673","1,0",9,"13,8","4,255","1,5",15,"26,9","7,976","1,7","1,8",1,"0,231","30,5",45,51,"1,00"
260,24,4,2,2,"60,0","18,109","0,033",6,"13,7","4,163","2,3",4,"10,1","3,026","2,5",7,"12,4","3,967","1,8",9,"23,9","6,954","0,8","2,7",0,"0,340","31,9",40,53,"1,00"
69,4,1,4,1,"60,0","17,973","0,007",8,"14,6","4,647","1,8",7,"12,8","3,806","1,8",5,"10,9","3,551","2,2",7,"17,6","4,420","0,0","2,5",0,"0,399","30,4",29,51,1
82,37,7,5,1,"1,7","17,918","0,021",6,"12,2","3,535","2,0",3,"8,2","2,770","2,7",6,"11,0","3,178","1,8",7,"28,6","8,435","1,1","4,1",4,"0,280","28,7",48,48,"2,00"
109,10,1,4,2,"60,0","17,765","0,039",5,"17,0","7,955","3,4",5,"9,8","1,595","2,0",6,"18,3","3,699","3,0",3,"7,0","1,530","0,0","2,3",0,"0,479","30,8",12,51,3
9,3,1,1,1,"60,0","17,673","0,048",4,"7,6","2,102","1,9",5,"15,8","3,893","3,2",5,"15,0","4,763","3,0",6,"18,6","5,399","0,0","3,1",0,"0,455","32,1",31,54,1
157,21,3,2,1,"60,0","17,593","0,007",0,"0,0","0,000","0,0",6,"10,0","2,906","1,7",5,"14,6","4,024","2,9",7,"17,6","5,581","3,9","2,5",0,"0,395","30,8",29,51,0
271,24,4,3,1,"60,0","17,529","0,007",7,"19,5","4,467","2,8",6,"8,5","2,581","1,4",7,"13,1","4,334","1,9",9,"18,8","6,146","4,3","2,1",0,"0,311","30,3",31,51,"2,00"
218,28,5,4,1,"60,0","17,519","0,041",4,"8,0","2,643","2,0",7,"9,4","3,189","1,3",9,"20,2","6,374","2,2",7,"22,4","5,313","7,1","3,2",0,"0,322","30,3",37,51,"4,00"
84,39,7,5,1,,"17,469","0,040",7,"12,1","4,044","1,7",6,"9,0","2,998","1,5",7,"20,0","5,028","2,9",8,"18,9","5,399","1,0","2,4",0,"0,338","29,9",32,50,"3,00"
40,4,1,2,4,"60,0","17,428","0,046",3,"4,0","1,023","1,3",6,"14,0","5,543","2,3",5,"26,0","5,015","5,2",6,"13,4","4,385","1,4","2,2",0,"0,496","26,6",22,44,0
232,28,5,5,1,,"17,394","0,050",8,"13,3","3,704","1,7",8,"9,7","2,819","1,2",9,"17,9","5,349","2,0",8,"19,1","5,522","6,9","2,4",0,"0,334","31,7",32,53,"3,00"
94,33,6,2,1,"60,0","17,347","0,029",5,"14,6","3,702","2,9",7,"22,8","7,213","3,3",6,"18,0","4,972","3,0",4,"4,6","1,459","9,3","1,1",0,"0,541","32,4",8,54,"3,00"
13,39,7,1,1,"60,0","16,928","0,022",3,"8,6","1,983","2,9",10,"28,4","8,352","2,8",8,"16,3","4,744","2,0",2,"6,7","1,850","18,5","3,4",0,"0,513","34,0",11,57,"2,00"
298,25,4,5,1,"25,5","16,746","0,046",6,"9,5","2,676","1,6",1,"1,6","0,512","1,6",7,"13,8","3,894","2,0",11,"35,2","9,665","1,9","3,2",3,"0,200","31,2",59,52,"2,00"
