"Test","Animal","Experiment","Stage","Trial","P4_tget_latency_to_first_entry","Distance.m.","Path_efficiency","Q1_entries","Q1_time","Q1_distance","Q1_mean_visit","Q2_entries","Q2_time","Q2_distance","Q2_mean_visit","Q3_entries","Q3_time","Q3_distance","Q3_mean_visit","Q4_tget_entries","Q4_tget_time","Q4_tget_distance","Q4_tget_latency_to_first_entry","Q4_tget_mean_visit","P4_tget_entries","P4_tget_mean_distance_from","P4_tget_time_getting_closer_to_zone","Q4_Pecent_time","P4_time_getting_closer","Fake_crossings_P1.P2.P3"
296,23,4,5,1,"39,1","18,113","0,042",10,"14,4","4,209","1,4",5,"4,9","1,673","1,0",9,"13,8","4,255","1,5",15,"26,9","7,976","1,7","1,8",1,"0,231","30,5",45,51,"1,00"
82,37,7,5,1,"1,7","17,918","0,021",6,"12,2","3,535","2,0",3,"8,2","2,770","2,7",6,"11,0","3,178","1,8",7,"28,6","8,435","1,1","4,1",4,"0,280","28,7",48,48,"2,00"
84,39,7,5,1,"","17,469","0,040",7,"12,1","4,044","1,7",6,"9,0","2,998","1,5",7,"20,0","5,028","2,9",8,"18,9","5,399","1,0","2,4",0,"0,338","29,9",32,50,"3,00"
232,28,5,5,1,"","17,394","0,050",8,"13,3","3,704","1,7",8,"9,7","2,819","1,2",9,"17,9","5,349","2,0",8,"19,1","5,522","6,9","2,4",0,"0,334","31,7",32,53,"3,00"
298,25,4,5,1,"25,5","16,746","0,046",6,"9,5","2,676","1,6",1,"1,6","0,512","1,6",7,"13,8","3,894","2,0",11,"35,2","9,665","1,9","3,2",3,"0,200","31,2",59,52,"2,00"
186,20,3,5,1,"45,5","16,481","0,022",2,"0,4","0,104","0,2",5,"3,7","1,019","0,7",7,"11,1","2,827","1,6",12,"28,0","8,188","2,0","2,3",1,"0,214","31,9",47,53,"4"
85,40,7,5,1,"10,6","16,447","0,042",8,"19,9","5,034","2,5",3,"3,6","0,841","1,2",5,"9,4","2,717","1,9",10,"27,1","7,855","4,7","2,7",1,"0,260","32,0",45,53,"5,00"
81,36,7,5,1,"40,1","15,995","0,056",7,"15,3","3,556","2,2",5,"12,8","4,243","2,6",5,"12,7","3,687","2,5",6,"19,1","4,508","7,1","3,2",1,"0,389","29,6",32,49,"4,00"
187,21,3,5,1,"","15,875","0,060",0,"0,0","0,000","0,0",5,"6,0","1,821","1,2",7,"15,7","4,556","2,2",7,"22,8","5,879","3,8","3,3",0,"0,351","29,5",38,49,"1"
133,15,2,5,1,"1,5","15,648","0,032",2,"0,5","0,139","0,2",4,"5,5","1,889","1,4",5,"12,8","3,435","2,6",6,"25,5","5,875","0,8","4,2",2,"0,326","29,7",43,50,"2"
297,24,4,5,1,"11,1","15,623","0,037",3,"2,7","0,945","0,9",3,"5,2","1,665","1,7",6,"16,3","4,208","2,7",7,"35,8","8,805","3,0","5,1",3,"0,211","31,0",60,52,"3,00"
